epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5715,1.90891,3.07509,1.79045,0.44413,0.3588,0.31789,0.12897,2.04107,2.40292,1.75372,0.00332295,0.00332295,0.00332295
2,95.118,1.82359,2.18099,1.68181,0.2736,0.28587,0.20007,0.07919,2.20968,3.04311,2.02576,0.00659039,0.00659039,0.00659039
3,136.941,1.91557,2.07917,1.77895,0.26749,0.2297,0.17484,0.06199,2.38436,4.08159,2.31159,0.00979182,0.00979182,0.00979182
4,178.636,1.98051,2.08045,1.88239,0.51764,0.38784,0.4095,0.17013,2.0597,2.08818,1.93316,0.009703,0.009703,0.009703
5,220.296,1.88058,1.85366,1.79144,0.55849,0.47647,0.48304,0.21359,1.95716,1.87684,1.83934,0.009604,0.009604,0.009604
6,261.952,1.80535,1.70662,1.72774,0.59277,0.49802,0.52944,0.24336,1.90383,1.71599,1.77207,0.009505,0.009505,0.009505
7,303.607,1.735,1.59246,1.67544,0.62974,0.5059,0.54526,0.25651,1.90942,1.68799,1.7983,0.009406,0.009406,0.009406
8,345.23,1.68494,1.491,1.64063,0.71756,0.55682,0.63046,0.32111,1.76561,1.48056,1.67674,0.009307,0.009307,0.009307
9,387.032,1.63731,1.41576,1.60909,0.66512,0.60381,0.63821,0.32347,1.72759,1.45719,1.65418,0.009208,0.009208,0.009208
10,428.722,1.59969,1.35717,1.57719,0.7538,0.60657,0.67919,0.3629,1.66816,1.37579,1.59154,0.009109,0.009109,0.009109
11,470.353,1.56425,1.29099,1.54314,0.71315,0.6038,0.66943,0.3597,1.70351,1.36964,1.61015,0.00901,0.00901,0.00901
12,512.038,1.53475,1.24039,1.51603,0.71935,0.63773,0.68969,0.37089,1.66989,1.33841,1.59303,0.008911,0.008911,0.008911
13,553.778,1.50154,1.19852,1.48685,0.77302,0.62159,0.69773,0.37338,1.66711,1.28183,1.58889,0.008812,0.008812,0.008812
14,595.507,1.47673,1.15418,1.46797,0.75004,0.6468,0.71526,0.38698,1.63121,1.24846,1.55245,0.008713,0.008713,0.008713
15,637.271,1.44868,1.12118,1.44626,0.76644,0.6755,0.73733,0.39927,1.60313,1.24918,1.52662,0.008614,0.008614,0.008614
16,679.001,1.42674,1.08577,1.43473,0.78338,0.67416,0.75295,0.42359,1.58026,1.16412,1.53043,0.008515,0.008515,0.008515
17,720.81,1.39604,1.04708,1.40825,0.75151,0.66943,0.72267,0.40712,1.59234,1.18284,1.55182,0.008416,0.008416,0.008416
18,762.617,1.37647,1.02311,1.39951,0.77566,0.66163,0.73475,0.41046,1.58773,1.23572,1.53882,0.008317,0.008317,0.008317
19,804.401,1.35595,0.99704,1.37638,0.79645,0.67331,0.75698,0.43015,1.5691,1.14747,1.49403,0.008218,0.008218,0.008218
20,846.237,1.33299,0.96229,1.35981,0.77697,0.7198,0.77004,0.43811,1.54004,1.09861,1.49405,0.008119,0.008119,0.008119
21,887.964,1.31274,0.94485,1.34602,0.8168,0.70448,0.77953,0.45466,1.5372,1.08325,1.48638,0.00802,0.00802,0.00802
22,929.68,1.28546,0.91555,1.32592,0.8027,0.71151,0.7789,0.45811,1.51878,1.07885,1.48329,0.007921,0.007921,0.007921
23,971.503,1.27589,0.89822,1.31968,0.82027,0.71301,0.78672,0.45647,1.53311,1.04883,1.48317,0.007822,0.007822,0.007822
24,1013.4,1.25572,0.87625,1.30235,0.8264,0.72911,0.79568,0.46869,1.51392,1.03678,1.48057,0.007723,0.007723,0.007723
25,1055.23,1.24473,0.86732,1.29043,0.81463,0.74429,0.8063,0.48405,1.49686,1.00063,1.4558,0.007624,0.007624,0.007624
26,1097.12,1.22254,0.84244,1.27264,0.82874,0.71375,0.79622,0.47547,1.48328,1.02915,1.44649,0.007525,0.007525,0.007525
27,1138.82,1.21446,0.82543,1.27099,0.8332,0.74855,0.81344,0.48667,1.47907,0.98314,1.44676,0.007426,0.007426,0.007426
28,1180.8,1.19822,0.81562,1.25683,0.84523,0.74499,0.81275,0.49399,1.45824,0.9727,1.44072,0.007327,0.007327,0.007327
29,1222.44,1.17763,0.79117,1.23968,0.85835,0.73734,0.81273,0.492,1.46126,0.97118,1.43632,0.007228,0.007228,0.007228
30,1264.25,1.16232,0.78058,1.23328,0.83647,0.75942,0.81642,0.49705,1.46551,0.96822,1.44228,0.007129,0.007129,0.007129
31,1306.05,1.15148,0.76714,1.22204,0.85368,0.74074,0.81229,0.49726,1.45406,0.96891,1.43542,0.00703,0.00703,0.00703
